job_id,title_raw,role_family,company,company_type,location,career_level,published_or_observed_at,source_url,source_tier,responsibilities,must_have,preferred,exclusion_reason,dedupe_key,evidence_notes
Kuaishou-460621,AI Agent算法工程师-智能创作,Agent应用/内容创作,快手,大厂/互联网,北京/杭州,校招,2026-09-15,https://www.nowcoder.com/jobs/detail/460621,C,"智能创作Agent; Planning/Reasoning/Tool/Memory/RAG/Multi-Agent/Workflow; 产品化; Skill与评测体系","2027届; LLM/多模态/工程能力","Agentic RL; 生成模型经验",,快手|AI Agent算法工程师智能创作|2027|460621,职责同时包含应用系统与模型算法
Kuaishou-452734,大模型Agent算法工程师,Agent Framework/Runtime,快手,大厂/互联网,北京,校招,2026-09-15,https://www.nowcoder.com/jobs/detail/452734,C,"Planning/Reasoning/Tool/Memory/RAG/Workflow/Multi-Agent; Agent Framework/Runtime; Sandbox/Gateway/Skill; benchmark/tool-use eval; 企业workflow落地","Agent/LLM工程与算法基础","SFT/RL/DPO/GRPO; 长程Agent",,快手|大模型Agent算法工程师|2027|452734,工程与训练混合岗位
Kuaishou-460774,Data Agent研发工程师,Data Agent/AI后端,快手,大厂/互联网,北京,校招,2026-09-15,https://www.nowcoder.com/jobs/detail/460774,C,"企业Data Agent; 自然语言查询/SQL/看板/AB分析; 多Agent; 知识体系; 可靠性与可观测","2027届; 数据/软件工程基础; Agent研发能力","企业数据平台与分析经验",,快手|Data Agent研发工程师|2027|460774,明确真实内部高频产品场景
Kuaishou-460823,大模型Agent算法工程师-短视频推荐方向,Agent应用/推荐,快手,大厂/互联网,北京,校招,2026-09-15,https://www.nowcoder.com/jobs/detail/460823,C,"推荐Agent; Planning/Tool/Memory/Multi-Agent; 内容/用户理解; 策略生成; 实验分析与算法研发辅助","2027届; LLM/推荐/Agent基础","多模态与推荐系统经验",,快手|Agent算法工程师推荐|2027|460823,业务场景明确
Kuaishou-452716,大模型系统开发工程师,AI后端/Agent系统,快手,大厂/互联网,北京,校招,2026-09-15,https://www.nowcoder.com/jobs/detail/452716,C,"工业级AI Agent/AIGC系统; 关键子系统; 与算法团队迭代效果; 内容生产与理解业务落地","CS基础; Java/Python/C++/Go之一","LangChain/LlamaIndex/RAGFlow或大模型应用经验",,快手|大模型系统开发工程师|2027|452716,偏系统开发
ByteDance-446897,AI Agent开发工程师,Agent开发/研发效能,字节跳动,大厂/互联网,北京,校招,2026-09-15,https://www.nowcoder.com/jobs/detail/446897,C,"客户端研发Agent Harness; Knowledge/Skills/CLI; trace; Issue Diagnosis/Coding/Review/Validation; 规模化落地","2027届; 软件工程基础; Agent技术","IDE/研发平台; AI Coding/自动化测试",,字节跳动|AI Agent开发工程师|2027|446897,研发效能Agent
ByteDance-463368,AI全栈开发工程师（电商/前后端）,AI全栈/Agent业务应用,字节跳动,大厂/互联网,北京/上海/杭州,校招,2026-09-15,https://www.nowcoder.com/jobs/detail/463368,C,"电商交易/营销/履约/广告全栈; Agent重构业务流程; 任务拆分/工具调用/RAG/Multi-Agent","Python/Go/Java/JS之一; React; LLM与Agent核心模块","MCP; Agent部署; 电商/履约/广告业务经验",,字节跳动|AI全栈开发工程师电商|2027|463368,强业务闭环信号
ByteDance-435369,AI Agent开发实习生-平台产品基础,Agent应用/平台业务,字节跳动,大厂/互联网,北京,实习,2026-09-15,https://www.nowcoder.com/jobs/detail/435369,C,"平台产品基础场景中的Agent开发; 治理/体验/营销业务工具化与自动化","面向2027届; 软件工程与Agent开发基础","平台治理/营销/工具链经验",,字节跳动|AI Agent开发实习生平台产品基础|2027|435369,岗位页明确ByteIntern 2027
ByteDance-432127,AI Agent开发实习生-计算,Agent Infra/平台,字节跳动,大厂/互联网,北京,实习,2026-09-15,https://www.nowcoder.com/jobs/detail/432127,C,"AI-Native Infra; Agent身份/权限/记忆/观测/治理; IaaS/云原生基础设施","2027届; CS基础; C/C++/Python/Go之一","PyTorch/推理引擎/GPU/高性能网络",,字节跳动|AI Agent开发实习生计算|2027|432127,偏Infra但含企业级Agent治理信号
PDD-460527,AI Agent研发工程师,Agent研发/AI后端,拼多多,大厂/电商,上海,校招,2026-09-15,https://www.nowcoder.com/jobs/detail/460527,C,"Agent规划/Context/Memory/Tool; RAG; 高并发高可用; 缓存/消息/异步; 安全; eval/observability; MCP","2027届; Python/Java/Go/C++之一; Prompt; LLM/Agent/RAG; 主流框架","分布式系统; 大模型应用0-1; Post-training",,拼多多|AI Agent研发工程师|2027|460527,其他同文案PDD页面按重复处理不计新样本
