job_id,title_raw,role_family,company,company_type,location,career_level,published_or_observed_at,source_url,source_tier,responsibilities,must_have,preferred,exclusion_reason,dedupe_key,evidence_notes
Baidu-J99974,2027AIDU-Agent应用全栈工程师,Agent应用/AI全栈,百度,大厂/互联网,北京,校招,2026-09-15,https://talent.baidu.com/jobs/detail/GRADUATE/6f9c3a86-6557-409d-8fa7-e6f4c68d6765,A,"Autonomous Agent; Planning-Acting-Reflection; Tool/API; Memory; state; RAG+Agent; eval; cost/latency","LLM边界理解; Agent项目经验; Agent框架实践","Multi-Agent; Tool Learning; self-improvement等前沿落地",,百度|AIDU|Agent应用全栈工程师|2027|J99974,官方完整JD
Baidu-J100835,上海-大模型研发工程师,LLM应用/AI后端,百度,大厂/互联网,上海,校招,2026-09-15,https://talent.baidu.com/jobs/detail/GRADUATE/3b3888c3-5d8b-4c62-9bbb-a142c24e7d86,A,"LLM推理服务; 工具链; 数据管道; RAG/Agent业务集成; 调用链性能稳定性","Python; LLM API应用开发; RAG/Agent/Prompt基础","AI应用实习; Docker/Kubernetes",,百度|校招|大模型研发工程师|2027|J100835,官方完整JD
Baidu-J99969,2027AIDU-智能体算法工程师,智能体工程/算法混合,百度,大厂/互联网,北京,校招,2026-09-15,https://talent.baidu.com/jobs/detail/GRADUATE/4f1cbc80-8332-4a92-b8fa-c0132b17d47e,A,"Agent闭环; 规划; 工具调用; Memory; Multi-Agent; RAG; eval; 产品场景落地","硕士; LLM应用理解; Agent框架; 工程实现","RAG/知识库/Multi-Agent; RL/规划算法; 论文或开源",,百度|AIDU|智能体算法工程师|2027|J99969,含算法成分但职责包含工程落地与评测
Baidu-J101017,北京-智能体算法工程师,智能体工程/应用算法,百度,大厂/互联网,北京,校招,2026-09-15,https://talent.baidu.com/jobs/detail/GRADUATE/02f73086-be71-4d09-8d6e-f1c6981b8b48,A,"Agent全链路; 规划推理; 工具调用; Memory; Multi-Agent; 评估; 业务产品化","Agent原理; PyTorch/LangChain/AutoGen; 工程落地能力","Agent产品经历; 顶会/竞赛/开源",,百度|校招|智能体算法工程师|2027|J101017,官方完整JD
Ali-462051,AI应用研发工程师-2027应届生招聘,AI应用/Agent应用,阿里巴巴,大厂/电商,杭州,校招,2026-09-15,https://www.nowcoder.com/jobs/detail/462051,C,"业务问题识别; Agent架构; Memory/推理/工具编排; API/RAG; 观测; 自动化评测; 高并发稳定性","2027届; AI编程工具; LLM能力边界; Context/Prompt/Agent/Tool Calling","完整项目级AI开发经验",,阿里巴巴|AI应用研发工程师|2027|462051,权威招聘平台完整JD并标明企业与批次
Ali-459438,AI应用研发工程师,AI后端/Agent平台,阿里巴巴-淘天,大厂/电商,杭州,校招,2026-09-15,https://www.nowcoder.com/jobs/detail/459438,C,"AI应用后端; Java/Spring Boot; Agent Harness; Tool/Context/Memory/权限/观测; Agent Loop; RAG","Java后端工程; LLM/Agent应用基础","Agent开发部署; RAG; 平台工程经验",,淘天|AI应用研发工程师|2027|459438,职责高度贴近AI后端与Agent工程
Ali-459460,AI应用研发工程师,Agent应用/智能服务端,阿里巴巴,大厂/电商,杭州,校招,2026-09-15,https://www.nowcoder.com/jobs/detail/459460,C,"增长营销场景; Agent Loop; Harness; Context/RAG/Memory/MCP/Skill; eval/observability/security","Java/Go/Python之一; 服务端工程; Agent原理","Context Engineering; MCP; Multi-Agent; Agent Eval; Post-training",,阿里巴巴|AI应用研发|增长营销|2027|459460,完整JD
AliCloud-445261,大模型应用开发工程师（阿里云2027届实习）,LLM应用/AI后端,阿里云,云服务/企业软件,杭州,实习,2026-09-15,https://www.nowcoder.com/jobs/detail/445261,C,"LLM业务落地; Agent任务规划/Tool/Memory/Multi-Agent; LLMOps评测监控; RAG; MCP; 工作流","Java/Python/Go/C++之一; CS基础; LLM应用开发理解","LangChain/LlamaIndex/Dify实践",,阿里云|大模型应用开发工程师|2027实习|445261,完整JD
Ali-439888,AI agent优化工程师 27届,Agent应用优化/评测,淘天集团,大厂/电商,杭州,校招,2026-09-15,https://www.nowcoder.com/jobs/detail/439888,C,"Agent优化; MCP/Skills/Memory/RAG; 数据构建; 复杂任务评测与问题定位","2027届; Python; LLM/后训练理解; AI应用构建能力","Agentic RL; 影响力AI应用; 评测体系设计",,淘天|AI agent优化工程师|2027|439888,包含后训练但应用构建与评测职责清晰
Huawei-458640,Agent开发（华为27届秋招）,Agent开发,华为,大厂/ICT,北京,校招,2026-09-15,https://www.nowcoder.com/jobs/detail/458640,C,"Memory; 自主决策; 代码生成; Context; Planning; Tool Calling; RAG; 产品应用集成; 效果评估","相关专业; 主流大模型应用框架; Python/C++/Java至少一门","LLM/向量库/强化学习/知识图谱等经验",,华为|Agent开发|北京|2027|458640,完整JD
