capability_id,name,category,evidence_job_ids,must_count,preferred_count,responsibility_count,role_distribution,context_summary,confidence,learning_priority,caveat
CAP001,Programming and backend engineering,programming/backend,"Baidu-J100835;DCITS-AICoding-2027;Aspire-AIApp-2027;BankAlliance-LLM-2027;RootCloud-Agent-2027;RootCloud-Fullstack-2027;Kingdom-LLM-2027;Coremail-AIDev-2027;SouthernFund-AIFramework-2027;NAURA-Agent-J16415;Qiyunfang-Agent-2026;Guoqi-AI-2026;Baoying-AI-2026",19,3,17,"AI backend; Agent app; full-stack; framework; FDE","Build deployable services, APIs, business integrations, async/runtime logic and maintainable production code; language choice varies, with Python common and Java/Go/C++ repeatedly accepted",high,core,"No single language is universal; do not abandon Java solely because Python appears often"
CAP002,Tool calling and API integration,Agent,"Baidu-J99974;Baidu-J99969;Baidu-J101017;PDD-AI-Agent-2027;AISpeech-Agent-2027;DCITS-Agent-2027;Suren-Agent-2027;FastCAE-AI-2027;RootCloud-Agent-2027;Kingdom-LLM-2027;Coremail-AIDev-2027;SouthernFund-AIFramework-2027;SouthernFund-AIApp-2027;NAURA-Agent-J16415;CMB-SH-AI-2027;Qiyunfang-Agent-2026;Guoqi-AI-2026;Supvan-EnterpriseAI-2026",7,5,18,"Agent app; framework; AI backend; enterprise integration","Connect models to real capabilities and business systems through Tool/API/Function Calling, schemas and controlled execution",high,core,"Framework syntax matters less than reliable tool contracts and business-side validation"
CAP003,Planning workflow state and context,Agent,"Baidu-J99974;Baidu-J99969;Baidu-J101017;PDD-AI-Agent-2027;AISpeech-Agent-2027;Shanshu-Agent-2027;DCITS-Agent-2027;Aspire-AIApp-2027;Suren-Agent-2027;Kingdom-LLM-2027;SouthernFund-AIFramework-2027;NAURA-Agent-J16415;CMB-SH-AI-2027;Qiyunfang-Agent-2026;Guoqi-AI-2026;Baoying-AI-2026",7,3,16,"Agent app; framework; AI backend","Decompose multi-step work, route next actions, retain task state/context, stop/retry safely and make long tasks inspectable",high,core,"Reflection and long-term memory are not automatically required; use only where scenario evidence justifies them"
CAP004,RAG retrieval and knowledge systems,retrieval,"Baidu-J99974;Baidu-J100835;Baidu-J99969;PDD-AI-Agent-2027;Shanshu-Agent-2027;DCITS-Agent-2027;Suren-Agent-2027;BankAlliance-LLM-2027;FastCAE-AI-2027;SunPaper-AI-2027;Kingdom-LLM-2027;Coremail-AIDev-2027;SouthernFund-AIFramework-2027;SouthernFund-FDE-2027;CMB-SH-AI-2027;Qiyunfang-Agent-2026;Guoqi-AI-2026;Baoying-AI-2026;Supvan-EnterpriseAI-2026",5,5,19,"Agent app; LLM app; enterprise integration","Ground non-structured domain knowledge, enterprise documents and specialist decision context",high,core_or_should,"High frequency does not justify vectorizing structured business facts; SQL/API remains preferable for authoritative state"
CAP005,Evaluation testing and observability,evaluation,"Baidu-J99974;Baidu-J99969;Baidu-J101017;PDD-AI-Agent-2027;DCITS-Agent-2027;Suren-Agent-2027;Kingdom-LLM-2027;Coremail-AIDev-2027;Coremail-AITest-2027;SouthernFund-AIEval-2027;SouthernFund-AIApp-2027;SouthernFund-Platform-2027;Guoqi-AI-2026",3,5,13,"Agent app; eval/quality; platform; AI backend","Measure task success and failures, evaluate tool/answer behavior, trace runs, regress versions, and expose cost/latency/quality",high,core,"Named eval platforms are optional; versioned cases and reproducible metrics are the underlying capability"
CAP006,Business-system integration and enterprise state,backend/business,"Aspire-AIApp-2027;Suren-Agent-2027;BankAlliance-LLM-2027;SunPaper-AI-2027;RootCloud-Fullstack-2027;Coremail-AIDev-2027;SouthernFund-FDE-2027;NAURA-Agent-J16415;CMB-SH-AI-2027;Qiyunfang-Agent-2026;Guoqi-AI-2026;Supvan-EnterpriseAI-2026",2,3,12,"AI app; enterprise software; FDE; full-stack","Translate business requirements into APIs/tools and connect Agent actions to ERP/MES/OA/WMS/email/financial/R&D or other deterministic systems",high,core,"A local contract-realistic business system is acceptable when production enterprise credentials are unavailable"
CAP007,Reliability performance and failure handling,reliability,"Baidu-J99974;Baidu-J100835;PDD-AI-Agent-2027;AISpeech-Agent-2027;Aspire-AIApp-2027;SunPaper-AI-2027;Coremail-AIDev-2027;Coremail-AITest-2027;SouthernFund-AIApp-2027;SouthernFund-Platform-2027;NAURA-Agent-J16415;Qiyunfang-Agent-2026",2,3,12,"Agent app; platform; backend; quality","Handle latency, concurrency, exceptions, retries, stability, failure analysis and operational quality beyond a happy-path demo",high,core,"Do not over-engineer distributed infrastructure before proving the thin vertical slice"
CAP008,Security permissions approval and safe writes,security,"PDD-AI-Agent-2027;Coremail-AITest-2027;Qiyunfang-Agent-2026;NAURA-Agent-J16415;SunPaper-AI-2027;SouthernFund-AIEval-2027",1,2,6,"Agent app; quality; enterprise integration","Control permissions, Prompt Injection/unsafe behavior, write boundaries and auditability for enterprise actions",high,core_for_write_actions,"Frequency is lower than Tool/RAG, but risk impact makes it mandatory when the project changes business state"
CAP009,MCP A2A and standardized tool protocols,protocols,"PDD-AI-Agent-2027;FastCAE-AI-2027;SouthernFund-Platform-2027;CMB-SH-AI-2027;Guoqi-AI-2026;Baoying-AI-2026",2,3,6,"Agent app; platform; enterprise integration","Standardize tool/context interoperability and connect Agent runtimes to existing capabilities",high,should,"Often appears as one implementation option or bonus; prove HTTP/tool contracts first instead of making MCP the project purpose"
CAP010,Multi-Agent collaboration,Agent,"Baidu-J99969;Baidu-J101017;AISpeech-Agent-2027;Shanshu-Agent-2027;Aspire-AIApp-2027;FastCAE-AI-2027;CMB-SH-AI-2027",2,3,7,"Agent app; framework; AI full-stack","Coordinate specialized agents or distributed task decomposition in scenarios where one stateful workflow is insufficient",high,nice_or_conditional,"High visibility but rarely a universal hard requirement; default reject unless a single-agent workflow demonstrably fails"
